Gender,Education_Level,Preferred_Activities,Location,Favorite_Season,Pets,Environmental_Concerns,Preference,Proximity_to_Mountains,Proximity_to_Beaches,Vacation_Budget,Travel_Frequency,Income,Age
non-binary,bachelor,hiking,urban,summer,1,1,0,126,84,3347,3,77533,63
female,doctorate,skiing,rural,winter,1,1,0,297,258,1974,2,68529,67
non-binary,doctorate,swimming,rural,spring,1,0,0,254,90,752,8,25715,20
non-binary,master,skiing,suburban,fall,0,0,1,125,262,2402,1,118318,39
female,high school,skiing,urban,fall,1,1,1,101,154,659,5,105185,36
female,master,skiing,rural,fall,1,1,0,292,110,4987,2,61725,52
non-binary,high school,hiking,suburban,fall,1,1,0,170,110,3797,8,49725,29
male,master,sunbathing,suburban,spring,0,1,0,216,172,862,1,81899,22
male,high school,swimming,urban,summer,1,1,0,56,43,882,2,31430,27
female,doctorate,hiking,urban,fall,0,1,1,153,195,4964,8,86367,58
male,doctorate,skiing,urban,summer,0,0,1,76,288,4479,4,84746,50
male,doctorate,sunbathing,suburban,fall,0,0,0,4,8,3263,2,105688,30
female,high school,hiking,urban,winter,0,0,0,275,148,4947,4,40462,52
non-binary,master,skiing,urban,winter,0,0,1,108,263,4148,4,30558,68
non-binary,high school,swimming,rural,spring,0,0,0,88,76,1178,5,116262,49
male,bachelor,hiking,urban,spring,0,0,0,273,60,681,8,74599,28
non-binary,bachelor,swimming,suburban,winter,1,1,0,59,268,3897,4,61174,65
female,doctorate,hiking,suburban,winter,1,1,0,192,8,1508,9,72758,55
male,high school,skiing,suburban,summer,0,1,1,68,239,2981,0,47467,41
non-binary,bachelor,hiking,suburban,winter,0,0,0,77,72,3620,2,42789,52
male,high school,swimming,rural,fall,0,1,0,255,101,578,8,30937,36
non-binary,bachelor,sunbathing,suburban,summer,0,0,0,6,182,3572,7,73187,23
male,high school,skiing,urban,winter,0,1,1,80,195,3715,5,84120,57
non-binary,bachelor,hiking,urban,winter,0,1,0,134,59,3926,3,110621,62
non-binary,high school,swimming,rural,fall,1,0,0,281,118,2475,0,103608,61
female,high school,sunbathing,rural,summer,1,0,0,93,8,4940,0,89018,59
female,master,swimming,urban,spring,1,1,0,221,86,1084,9,25251,52
female,doctorate,swimming,urban,fall,0,1,0,218,237,4834,9,34876,21
male,doctorate,sunbathing,rural,spring,1,1,0,161,40,3799,3,75016,50
male,doctorate,skiing,urban,fall,1,0,0,99,54,4187,6,80014,30
male,bachelor,hiking,suburban,summer,0,0,1,125,263,2525,3,56826,53
non-binary,master,swimming,rural,winter,1,1,0,175,16,2421,7,79654,60
non-binary,high school,swimming,urban,spring,0,1,0,68,274,3534,8,52159,36
non-binary,high school,hiking,rural,summer,1,0,1,229,252,2566,6,47967,60
male,high school,sunbathing,urban,fall,1,0,0,178,256,4316,4,54159,29
female,bachelor,sunbathing,suburban,spring,1,0,0,188,86,1615,6,59466,28
male,high school,hiking,urban,spring,1,1,0,195,133,2705,9,98179,23
male,doctorate,swimming,rural,winter,1,0,0,132,154,557,5,97725,29
female,doctorate,skiing,suburban,winter,1,1,1,15,182,1172,2,76123,44
female,doctorate,sunbathing,urban,fall,1,1,0,198,263,826,5,102396,58
male,doctorate,skiing,rural,fall,0,1,1,55,262,2718,1,49339,42
non-binary,bachelor,skiing,urban,winter,1,0,0,255,6,785,4,54855,59
non-binary,bachelor,skiing,rural,winter,1,1,1,48,290,4684,6,25442,20
female,doctorate,sunbathing,rural,winter,0,0,0,90,190,704,8,55796,20
male,doctorate,sunbathing,suburban,spring,1,1,0,228,199,3838,0,51524,37
non-binary,high school,swimming,rural,summer,1,1,0,126,0,2102,1,98178,45
non-binary,master,swimming,suburban,fall,1,1,0,257,234,3354,7,21811,40
female,bachelor,skiing,rural,summer,0,0,0,284,20,1455,2,40926,65
male,bachelor,skiing,urban,spring,0,1,1,229,233,1743,5,30952,20
female,high school,swimming,suburban,winter,0,1,0,53,35,4616,1,40793,59
male,doctorate,skiing,urban,winter,0,0,1,219,269,3923,8,80656,41
male,master,hiking,urban,winter,0,1,1,82,232,4221,8,66650,60
male,bachelor,hiking,urban,summer,1,0,1,85,140,1647,4,94612,57
male,bachelor,skiing,rural,fall,1,1,1,68,295,3687,4,22708,23
male,doctorate,skiing,suburban,winter,1,1,1,104,221,4700,1,54090,37
male,bachelor,sunbathing,urban,summer,1,0,0,15,203,2746,2,101128,28
non-binary,master,hiking,suburban,winter,0,1,1,219,294,4752,1,50506,49
non-binary,bachelor,swimming,rural,winter,1,0,0,17,103,2783,4,46839,44
non-binary,master,swimming,suburban,winter,0,0,0,91,182,3123,2,91014,38
non-binary,bachelor,skiing,urban,summer,0,1,1,36,114,4375,0,49822,61
male,high school,hiking,rural,spring,1,1,0,188,150,1758,9,101770,65
non-binary,high school,swimming,urban,spring,0,1,0,165,16,2129,9,111038,67
male,high school,sunbathing,urban,winter,1,0,0,79,33,3646,8,22622,30
female,high school,sunbathing,urban,summer,0,1,0,230,48,590,4,46029,39
female,bachelor,swimming,rural,winter,0,0,0,43,72,4089,2,35805,52
non-binary,doctorate,sunbathing,suburban,summer,1,1,0,107,19,4356,2,81722,64
male,bachelor,skiing,urban,summer,0,1,1,14,283,4708,4,47691,39
non-binary,master,swimming,suburban,fall,0,0,0,278,92,1632,7,38605,45
male,bachelor,sunbathing,suburban,winter,1,0,0,251,171,2653,1,43100,38
non-binary,doctorate,hiking,suburban,summer,1,1,0,192,97,1537,4,109227,63
female,doctorate,hiking,rural,winter,1,1,1,151,293,3006,6,49922,35
female,master,swimming,urban,spring,0,1,0,51,83,1305,6,93108,48
non-binary,high school,sunbathing,rural,winter,0,0,0,177,140,3424,8,73210,63
non-binary,doctorate,sunbathing,urban,winter,1,1,0,262,271,3605,0,51331,54
male,doctorate,hiking,urban,summer,0,1,1,65,141,1548,2,74388,38
female,high school,skiing,suburban,fall,1,1,0,283,38,1464,0,73439,31
non-binary,high school,skiing,suburban,winter,0,1,0,223,119,1644,6,46751,42
male,bachelor,swimming,urban,fall,0,1,0,34,206,2462,3,82983,44
female,high school,skiing,urban,spring,1,1,1,152,241,2382,3,91119,57
male,master,skiing,urban,spring,1,0,1,101,254,3611,5,76534,40
female,doctorate,sunbathing,rural,summer,0,1,0,0,81,2440,1,98508,48
female,high school,swimming,urban,spring,1,1,0,199,278,4031,2,20353,64
male,doctorate,sunbathing,suburban,spring,0,0,0,100,296,4015,7,98999,46
male,master,skiing,suburban,winter,1,0,1,59,164,963,8,22933,64
female,high school,swimming,rural,fall,0,1,0,176,234,1353,0,81460,47
female,high school,skiing,rural,spring,1,1,0,16,8,3070,1,65708,68
male,high school,swimming,rural,winter,1,0,0,158,174,1324,4,90961,43
non-binary,high school,skiing,urban,winter,1,0,1,2,119,2824,2,29219,37
male,high school,sunbathing,rural,summer,0,1,0,128,203,3426,3,50428,55
non-binary,bachelor,skiing,suburban,summer,0,1,0,192,58,2047,8,34205,36
male,master,sunbathing,rural,winter,0,1,0,147,173,1200,0,71131,44
non-binary,master,swimming,rural,spring,1,0,0,199,253,1979,6,72931,42
non-binary,bachelor,sunbathing,rural,winter,1,0,0,276,121,2236,3,40116,57
female,bachelor,hiking,rural,fall,0,1,1,23,122,3998,8,61889,55
male,high school,hiking,rural,summer,0,1,1,248,250,3810,8,41576,69
male,high school,hiking,urban,winter,0,1,1,82,255,1177,8,108984,40
male,doctorate,skiing,rural,summer,1,0,0,292,105,4135,2,112264,46
non-binary,high school,sunbathing,rural,fall,1,0,0,229,115,2860,7,31604,32
non-binary,master,sunbathing,suburban,fall,1,1,0,290,44,2615,6,28323,20
female,high school,skiing,suburban,spring,1,0,0,119,37,3875,1,63327,27
non-binary,bachelor,swimming,urban,spring,1,0,0,13,259,980,0,53615,32
male,doctorate,swimming,urban,winter,1,1,0,103,257,3811,9,34360,33
non-binary,high school,swimming,urban,winter,1,1,0,208,265,614,1,39879,34
non-binary,bachelor,swimming,rural,spring,1,1,0,141,269,3892,3,57382,36
female,high school,skiing,suburban,fall,1,1,0,201,0,2340,8,46493,28
non-binary,high school,skiing,suburban,spring,0,1,1,96,166,2175,7,96460,65
male,master,swimming,rural,fall,0,0,0,249,202,3055,6,33828,22
male,bachelor,swimming,urban,spring,0,1,0,289,60,2462,7,56647,22
male,bachelor,sunbathing,rural,winter,0,0,0,231,86,2013,2,114484,31
male,bachelor,swimming,suburban,fall,1,1,0,295,181,3110,3,116929,67
female,master,hiking,rural,summer,1,0,0,276,52,3963,7,87674,43
female,doctorate,swimming,urban,spring,1,1,0,241,84,1589,6,89371,25
male,high school,hiking,rural,spring,0,0,1,17,204,2597,3,48361,22
male,master,sunbathing,rural,spring,1,1,0,122,131,3400,6,73224,24
non-binary,bachelor,skiing,suburban,winter,1,0,1,76,263,1472,0,100502,33
non-binary,doctorate,hiking,urban,winter,0,1,0,212,85,599,5,49294,31
non-binary,master,swimming,urban,summer,1,1,0,228,166,4209,1,84985,54
non-binary,bachelor,skiing,rural,fall,1,0,1,75,81,2179,8,53984,58
non-binary,master,sunbathing,urban,spring,0,1,0,120,140,3222,8,47208,21
male,doctorate,skiing,suburban,summer,0,0,0,223,48,611,7,90310,53
non-binary,bachelor,sunbathing,urban,spring,0,1,0,256,59,1480,8,74297,65
non-binary,high school,swimming,suburban,summer,0,1,0,173,195,1740,3,39783,34
non-binary,master,swimming,suburban,summer,0,1,0,23,220,2028,6,46413,64
female,bachelor,skiing,suburban,spring,1,1,1,146,223,3629,4,91957,53
female,bachelor,swimming,urban,spring,0,0,0,142,151,1642,2,61893,23
female,high school,hiking,suburban,winter,1,1,1,5,70,3091,1,67917,33
male,bachelor,hiking,rural,spring,1,0,0,202,171,2463,7,23023,46
female,doctorate,hiking,urban,summer,1,1,0,252,248,4911,5,114253,53
non-binary,bachelor,sunbathing,rural,summer,1,0,0,295,22,823,8,104056,55
non-binary,bachelor,skiing,rural,summer,0,1,0,293,62,4983,5,73755,54
non-binary,bachelor,skiing,urban,winter,0,0,1,232,238,2635,6,108336,65
male,bachelor,skiing,urban,summer,1,0,1,65,99,3740,3,66175,65
female,master,skiing,suburban,fall,0,1,1,66,162,4801,4,113249,27
female,master,sunbathing,urban,winter,1,0,0,225,50,3403,4,106912,58
non-binary,master,sunbathing,rural,spring,0,0,0,145,221,3558,8,117006,53
non-binary,master,sunbathing,suburban,fall,0,0,0,191,79,2770,2,87528,46
female,doctorate,hiking,urban,spring,1,0,0,210,136,3411,8,33804,31
female,doctorate,sunbathing,urban,fall,0,1,0,62,40,4033,9,61177,21
non-binary,doctorate,swimming,suburban,spring,0,0,0,269,107,4026,3,23504,61
female,master,skiing,suburban,fall,1,1,0,221,66,724,7,66370,59
female,master,sunbathing,suburban,summer,1,1,0,67,55,617,5,55899,53
male,doctorate,swimming,suburban,spring,0,1,0,190,167,1198,6,76581,67
non-binary,bachelor,swimming,urban,summer,1,1,0,231,240,2573,2,117141,62
female,high school,swimming,suburban,winter,1,0,0,134,126,1254,0,42952,30
male,doctorate,swimming,rural,winter,1,1,0,44,194,1441,1,27368,63
male,high school,hiking,rural,winter,1,0,0,296,258,564,4,66000,35
male,high school,hiking,suburban,fall,1,1,1,81,101,3767,2,112697,50
male,high school,skiing,suburban,spring,0,1,0,263,227,3417,1,81601,38
male,bachelor,swimming,rural,spring,0,1,0,181,167,807,4,107625,33
male,bachelor,swimming,rural,winter,1,1,0,94,26,4258,2,40457,32
male,master,sunbathing,rural,spring,1,1,0,125,186,3788,5,86819,22
non-binary,master,sunbathing,urban,fall,1,0,0,235,206,2874,1,69510,23
non-binary,bachelor,hiking,urban,winter,1,1,0,244,36,764,8,71425,55
non-binary,bachelor,sunbathing,rural,fall,1,1,0,131,185,682,6,100136,20
male,master,skiing,rural,fall,1,0,0,78,14,617,4,101988,65
female,high school,hiking,rural,summer,0,0,1,79,132,1259,3,38409,29
male,doctorate,hiking,urban,fall,0,0,0,151,119,2797,8,60968,53
non-binary,master,sunbathing,suburban,winter,0,0,0,228,16,3802,1,37959,50
non-binary,doctorate,skiing,suburban,fall,1,0,1,119,128,3762,8,107234,53
male,high school,hiking,rural,winter,0,0,0,225,134,2792,2,28984,50
non-binary,master,skiing,suburban,fall,0,0,0,68,46,585,3,94034,48
female,high school,skiing,suburban,spring,1,0,1,143,182,3631,2,105880,38
female,master,sunbathing,urban,fall,1,0,0,74,33,2953,3,102065,44
female,high school,swimming,rural,spring,1,0,0,212,249,2715,6,89101,44
male,high school,swimming,urban,fall,0,0,0,57,180,1332,7,36826,25
non-binary,master,sunbathing,urban,winter,1,1,0,90,124,4705,7,101082,54
non-binary,high school,swimming,rural,summer,0,0,0,56,256,688,0,44884,49
female,doctorate,swimming,suburban,winter,0,1,0,59,271,2276,7,85326,43
non-binary,doctorate,swimming,urban,summer,1,1,0,292,245,876,6,58460,19
male,bachelor,sunbathing,urban,winter,1,1,0,20,99,3027,1,83729,29
female,bachelor,swimming,rural,summer,1,0,0,119,263,4346,5,42072,39
male,doctorate,skiing,urban,fall,1,0,1,146,214,1455,0,66412,34
male,bachelor,skiing,rural,fall,0,1,1,273,298,3393,0,109491,24
non-binary,bachelor,hiking,urban,summer,1,0,1,197,278,1171,3,106598,60
male,bachelor,skiing,rural,spring,0,0,0,237,161,4434,1,105960,21
female,high school,skiing,rural,summer,1,1,1,41,209,3931,2,104641,54
male,doctorate,swimming,suburban,summer,1,1,0,59,232,3761,5,32341,55
non-binary,master,sunbathing,urban,fall,1,1,0,142,132,2094,3,86112,49
male,doctorate,skiing,suburban,fall,1,1,0,216,124,4339,6,45844,28
male,doctorate,hiking,urban,spring,1,1,0,175,56,3148,0,20199,18
non-binary,bachelor,swimming,suburban,winter,1,1,0,123,66,2497,2,75730,42
non-binary,bachelor,hiking,suburban,summer,1,0,0,139,21,1816,6,82836,59
non-binary,master,hiking,rural,fall,1,1,1,111,160,3680,0,52552,69
non-binary,doctorate,skiing,urban,spring,0,0,1,85,170,1653,5,45984,41
non-binary,high school,hiking,rural,spring,1,1,1,13,180,3393,4,63672,60
non-binary,high school,hiking,suburban,winter,0,0,0,288,184,2323,3,56592,34
non-binary,master,sunbathing,suburban,summer,0,0,0,270,120,4254,2,41043,25
male,master,hiking,suburban,summer,1,0,1,166,268,2182,8,105840,62
male,high school,sunbathing,urban,spring,1,0,0,128,58,3938,9,73730,44
male,high school,sunbathing,urban,summer,0,0,0,1,23,4682,8,77108,69
female,high school,swimming,rural,spring,1,1,0,176,83,4374,2,95481,35
non-binary,high school,swimming,rural,winter,0,1,0,289,208,2053,9,51044,44
male,high school,swimming,rural,spring,1,1,0,110,135,2752,5,93732,39
non-binary,doctorate,hiking,urban,fall,0,0,1,104,275,573,0,105486,33
female,doctorate,hiking,urban,winter,0,0,0,143,89,3771,7,20948,19
non-binary,high school,swimming,urban,spring,0,0,0,56,2,2574,5,94746,22
male,high school,hiking,rural,fall,1,0,1,139,266,708,2,58127,35
female,doctorate,hiking,rural,winter,1,0,1,187,194,3113,4,117169,20
non-binary,bachelor,skiing,urban,summer,0,0,1,206,233,580,7,116018,44
female,doctorate,sunbathing,rural,summer,0,1,0,281,150,1976,7,74277,34
non-binary,high school,sunbathing,urban,summer,1,0,0,284,120,4418,3,70494,33
female,master,swimming,urban,summer,0,0,0,179,175,3696,6,30138,23
male,high school,hiking,suburban,summer,0,0,1,223,261,1073,4,95248,68
non-binary,bachelor,swimming,suburban,summer,0,1,0,288,256,2897,9,80341,24
non-binary,high school,swimming,suburban,spring,1,0,0,90,224,4664,0,86974,67
non-binary,bachelor,swimming,rural,spring,0,1,0,252,92,2329,3,26036,31
male,bachelor,sunbathing,rural,summer,0,0,0,280,88,4475,6,102957,55
female,bachelor,swimming,rural,spring,1,1,0,103,98,2470,8,58095,57
male,doctorate,skiing,urban,winter,1,0,1,46,215,1400,7,69153,32
female,doctorate,sunbathing,rural,spring,0,1,0,136,276,813,7,28721,64
non-binary,bachelor,sunbathing,suburban,fall,0,1,0,184,80,2340,9,76354,64
female,bachelor,swimming,urban,spring,0,1,0,251,144,4482,8,68077,65
female,high school,sunbathing,urban,winter,0,1,0,122,276,2389,4,24857,50
non-binary,high school,skiing,suburban,winter,1,1,0,56,45,2822,8,104049,60
non-binary,doctorate,skiing,urban,fall,1,1,1,126,153,2250,2,84338,44
female,doctorate,sunbathing,rural,winter,1,1,0,111,109,3514,6,106808,46
non-binary,bachelor,swimming,rural,fall,0,0,0,35,110,1635,3,23554,54
non-binary,doctorate,swimming,urban,winter,0,0,0,294,101,3628,0,117670,22
female,bachelor,sunbathing,urban,fall,0,1,0,107,20,1621,0,29701,46
male,doctorate,sunbathing,suburban,summer,1,1,0,247,60,4575,5,99307,49
male,master,skiing,urban,winter,1,1,0,68,6,4856,2,38229,23
non-binary,doctorate,swimming,suburban,fall,0,0,0,193,106,881,7,113711,19
female,doctorate,hiking,suburban,spring,0,1,1,98,246,1925,6,23475,23
non-binary,bachelor,hiking,urban,fall,1,1,1,55,238,3590,9,54948,63
male,master,swimming,rural,fall,1,0,0,158,127,4549,7,76636,60
male,high school,sunbathing,suburban,summer,1,0,0,232,291,1756,3,91582,21
female,doctorate,skiing,rural,spring,0,0,1,70,243,1683,5,88375,46
female,master,hiking,rural,spring,0,0,1,232,250,4411,6,86794,42
male,high school,swimming,rural,fall,1,0,0,286,25,2084,3,67231,26
female,master,skiing,urban,summer,1,1,1,159,163,4012,9,68190,20
male,master,sunbathing,suburban,spring,0,1,0,81,111,4062,7,36727,43
non-binary,high school,skiing,urban,winter,1,1,0,30,27,587,8,111260,65
male,high school,hiking,suburban,winter,0,1,1,62,289,1604,4,23694,60
male,bachelor,skiing,urban,summer,0,0,1,80,136,1107,2,65851,44
female,bachelor,sunbathing,urban,winter,0,1,0,212,147,3349,5,31643,53
female,bachelor,skiing,rural,spring,1,0,0,295,231,4089,9,88218,49
female,master,hiking,urban,spring,0,1,0,280,136,2953,6,34084,18
non-binary,doctorate,skiing,urban,spring,0,0,1,116,176,4032,4,98540,33
female,doctorate,skiing,rural,fall,0,1,1,5,61,4319,8,57902,68
non-binary,doctorate,hiking,suburban,spring,1,1,0,288,248,1187,9,98952,65
female,high school,skiing,urban,spring,0,1,0,234,18,675,5,52304,28
female,doctorate,hiking,urban,winter,1,0,0,33,26,3418,4,27939,43
male,high school,hiking,rural,spring,1,0,1,150,286,1276,5,91181,57
male,master,skiing,suburban,winter,0,0,0,208,57,1843,8,98042,18
male,master,hiking,suburban,winter,0,0,0,238,39,2969,1,58281,43
non-binary,master,swimming,urban,winter,1,0,0,173,47,3850,4,96374,45
female,bachelor,sunbathing,suburban,summer,0,0,0,27,128,1724,1,92036,26
male,doctorate,sunbathing,suburban,winter,1,0,0,28,231,3793,3,55115,61
female,master,sunbathing,rural,fall,0,1,0,227,55,2395,4,46444,39
male,high school,swimming,suburban,fall,0,0,0,291,58,3713,9,85699,25
female,bachelor,swimming,urban,winter,0,1,0,139,276,4532,7,82335,66
male,bachelor,sunbathing,suburban,spring,1,0,0,297,199,1443,1,87002,59
male,doctorate,hiking,urban,fall,1,1,0,264,218,1842,6,57535,44
male,master,skiing,rural,fall,1,1,0,100,41,2362,8,25484,56
male,doctorate,hiking,suburban,summer,0,0,0,295,265,4898,3,32260,36
male,master,skiing,rural,spring,1,0,0,202,148,3725,0,60000,42
female,doctorate,sunbathing,suburban,spring,1,1,0,72,221,2442,7,101599,55
male,doctorate,skiing,rural,fall,0,0,1,64,221,4297,0,111651,38
female,bachelor,hiking,rural,spring,1,1,0,252,248,4983,4,45809,41
male,bachelor,skiing,rural,winter,0,1,1,44,60,4847,3,91756,41
female,master,sunbathing,rural,summer,0,1,0,172,92,2798,7,84216,36
male,bachelor,swimming,suburban,spring,1,1,0,215,269,4361,6,43374,67
male,bachelor,swimming,urban,winter,0,1,0,158,294,2642,1,55496,64
male,high school,swimming,urban,spring,0,0,0,222,169,2539,5,36680,19
non-binary,master,sunbathing,urban,spring,0,0,0,174,71,1943,8,88617,31
female,doctorate,skiing,suburban,winter,1,1,0,76,75,2422,3,71316,49
female,doctorate,hiking,urban,winter,0,1,1,59,278,2919,9,87459,59
male,doctorate,swimming,suburban,fall,0,1,0,38,264,2597,4,104164,49
male,high school,sunbathing,urban,summer,1,0,0,255,159,4753,5,66763,45
male,bachelor,sunbathing,rural,spring,0,0,0,10,228,4258,7,79578,65
non-binary,bachelor,sunbathing,rural,summer,0,1,0,155,39,4321,8,86213,56
male,doctorate,sunbathing,urban,fall,1,0,0,109,80,4829,6,80645,57
male,doctorate,swimming,suburban,winter,1,1,0,203,266,1537,9,98103,59
female,doctorate,skiing,suburban,fall,1,1,0,195,25,2101,3,97463,64
non-binary,high school,hiking,suburban,spring,1,1,1,13,98,3446,7,82695,57
female,doctorate,sunbathing,suburban,fall,1,1,0,257,34,655,1,84339,30
non-binary,bachelor,sunbathing,rural,spring,1,1,0,23,287,1871,7,72339,29
non-binary,high school,sunbathing,urban,summer,0,1,0,176,266,3458,3,93130,25
female,doctorate,swimming,rural,winter,1,0,0,235,127,2488,2,60522,32
female,bachelor,sunbathing,urban,spring,1,1,0,28,41,2210,7,42394,43
non-binary,master,skiing,rural,spring,1,1,0,185,8,2368,2,41078,29
non-binary,high school,sunbathing,suburban,winter,0,1,0,105,218,3415,9,86132,60
male,bachelor,sunbathing,suburban,winter,1,0,0,73,10,3540,8,29315,68
male,bachelor,swimming,suburban,summer,0,1,0,14,84,2847,5,43166,63
female,bachelor,swimming,suburban,winter,0,0,0,52,286,2212,7,99756,44
non-binary,bachelor,sunbathing,urban,winter,1,1,0,239,153,2329,5,105535,35
female,high school,hiking,rural,fall,0,1,0,150,7,4961,2,114985,62
male,high school,skiing,rural,winter,0,1,0,284,137,4451,1,67716,53
male,master,skiing,urban,winter,0,0,0,290,151,2668,3,46490,66
male,high school,skiing,suburban,spring,1,0,0,247,199,4014,7,76752,68
non-binary,high school,swimming,rural,summer,0,1,0,208,255,1464,6,117363,44
female,doctorate,skiing,rural,fall,0,0,1,45,219,4172,5,112454,26
non-binary,master,skiing,rural,fall,0,0,1,95,192,609,4,81934,56
non-binary,master,skiing,urban,winter,1,1,1,95,223,4392,9,58066,18
male,doctorate,skiing,urban,summer,0,1,1,153,293,3144,6,99503,24
male,doctorate,hiking,rural,fall,1,0,1,61,142,4616,1,68443,43
female,bachelor,skiing,suburban,spring,0,0,1,186,275,2873,4,118180,24
non-binary,master,skiing,rural,winter,0,0,1,22,87,1550,7,113923,69
female,high school,hiking,rural,fall,0,1,0,127,56,1217,7,80095,24
female,bachelor,swimming,rural,fall,0,0,0,210,230,2048,5,79715,25
female,doctorate,sunbathing,suburban,spring,1,0,0,22,224,1809,9,101509,33
female,bachelor,swimming,rural,winter,1,1,0,178,115,1582,0,86157,20
male,high school,sunbathing,urban,summer,1,1,0,32,38,4262,1,68281,62
female,high school,hiking,rural,summer,0,1,1,208,217,2957,2,34540,27
male,doctorate,swimming,urban,winter,1,1,0,223,158,1738,3,51725,67
female,bachelor,swimming,rural,spring,0,0,0,128,79,4851,6,75366,24
male,bachelor,hiking,suburban,fall,1,1,0,269,243,1349,5,36535,38
female,high school,sunbathing,suburban,fall,0,0,0,11,250,1501,6,114402,54
non-binary,bachelor,hiking,urban,winter,1,1,0,122,42,2065,2,65873,48
non-binary,bachelor,hiking,rural,spring,1,1,0,259,116,1880,2,49173,40
male,high school,swimming,urban,summer,1,1,0,167,55,4163,9,38447,44
male,doctorate,hiking,urban,spring,0,0,1,41,261,1138,7,24318,39
female,master,swimming,urban,summer,0,0,0,101,212,4150,5,108269,56
non-binary,bachelor,sunbathing,urban,spring,0,1,0,44,197,3223,2,43217,44
female,high school,skiing,urban,winter,1,0,1,210,284,1056,0,38803,66
male,high school,hiking,rural,spring,1,1,0,184,137,2022,9,73231,21
female,doctorate,swimming,suburban,fall,0,0,0,272,2,4522,5,113784,41
non-binary,high school,swimming,urban,winter,0,0,0,116,289,4772,9,93078,40
non-binary,bachelor,skiing,rural,fall,1,1,0,229,135,716,7,74386,65
non-binary,bachelor,swimming,rural,spring,0,1,0,177,290,4069,1,80409,36
non-binary,doctorate,hiking,rural,winter,0,1,1,133,149,4550,5,26529,59
non-binary,master,sunbathing,suburban,spring,1,0,0,11,145,3091,9,53338,20
male,bachelor,skiing,urban,fall,1,0,1,148,205,3190,6,35308,44
female,high school,swimming,urban,spring,1,1,0,226,12,1827,3,47838,20
female,high school,swimming,rural,summer,1,0,0,8,43,2902,8,105969,45
female,high school,swimming,suburban,summer,0,1,0,159,105,4624,3,88925,34
male,doctorate,skiing,urban,spring,1,1,0,271,138,1800,6,75425,48
male,high school,skiing,rural,winter,1,1,0,277,157,3239,6,101670,27
male,master,skiing,suburban,fall,1,0,0,77,57,2046,3,20373,66
male,doctorate,sunbathing,rural,winter,0,0,0,262,213,1078,9,42732,39
female,doctorate,sunbathing,urban,winter,0,1,0,140,98,3801,4,77991,47
non-binary,master,sunbathing,urban,summer,1,0,0,56,166,1152,9,29101,66
non-binary,high school,hiking,urban,summer,1,0,0,241,186,4367,8,46966,38
male,doctorate,sunbathing,rural,summer,1,0,0,41,98,4950,5,37440,53
female,doctorate,swimming,rural,winter,1,1,0,141,46,1668,5,28439,40
female,high school,hiking,suburban,spring,1,0,1,121,197,1730,3,119994,55
male,bachelor,hiking,rural,summer,1,0,0,102,94,2914,7,38186,29
female,bachelor,skiing,urban,fall,0,0,0,293,17,4006,8,58752,42
non-binary,doctorate,sunbathing,suburban,spring,0,1,0,242,191,4343,0,117253,37
male,high school,skiing,urban,fall,1,1,1,18,126,4703,9,113969,66
female,bachelor,swimming,rural,spring,0,1,0,63,275,1001,2,69755,66
female,doctorate,skiing,rural,summer,1,0,1,60,247,2584,6,66568,59
female,doctorate,hiking,rural,fall,0,0,1,49,100,1645,7,74105,24
male,doctorate,hiking,urban,summer,1,1,1,41,232,4678,4,97164,46
non-binary,doctorate,sunbathing,urban,summer,0,0,0,42,297,1503,5,25193,65
female,master,skiing,suburban,spring,0,1,1,169,177,3369,5,64713,46
male,doctorate,swimming,rural,spring,1,0,0,294,12,2898,9,47423,30
male,bachelor,swimming,rural,summer,1,1,0,168,31,4619,8,48195,20
female,bachelor,hiking,rural,spring,0,1,0,214,119,1950,8,63913,19
male,master,skiing,suburban,fall,0,1,1,7,150,2726,7,72436,33
non-binary,master,skiing,suburban,spring,1,1,0,153,41,2488,2,60502,47
non-binary,high school,swimming,urban,winter,1,0,0,281,273,4162,7,88081,55
male,doctorate,swimming,urban,fall,1,0,0,24,42,3032,9,60390,23
female,master,skiing,rural,summer,1,0,1,55,114,4519,4,117908,62
non-binary,doctorate,swimming,urban,summer,1,1,0,247,241,2250,6,37853,24
female,bachelor,sunbathing,rural,summer,0,1,0,14,207,1038,9,117697,22
male,bachelor,hiking,rural,winter,1,0,1,40,123,688,1,45752,24
non-binary,master,swimming,urban,winter,0,1,0,22,144,3518,3,64488,51
female,doctorate,swimming,suburban,summer,0,0,0,167,204,1534,3,32770,49
male,high school,sunbathing,rural,winter,0,0,0,53,227,1383,7,53003,66
female,bachelor,sunbathing,rural,fall,1,0,0,158,19,4631,9,97275,30
non-binary,bachelor,sunbathing,rural,fall,0,1,0,3,215,3838,6,115753,47
male,doctorate,sunbathing,suburban,winter,0,0,0,149,12,2403,7,29805,42
male,high school,swimming,urban,summer,1,1,0,35,193,3696,4,49020,38
female,high school,swimming,suburban,spring,1,0,0,71,160,2827,6,49824,38
female,high school,skiing,suburban,spring,1,0,0,133,107,1230,3,118194,45
male,doctorate,hiking,rural,spring,1,1,1,36,133,1318,5,80877,65
non-binary,high school,swimming,suburban,summer,1,0,0,9,30,4481,6,76309,37
non-binary,master,swimming,urban,fall,1,1,0,249,23,3212,7,61747,51
female,master,skiing,urban,winter,0,0,0,215,158,3176,0,38223,22
